stop_name,stop_id,stop_lat,stop_lon
Calle María Ciudadano Bancalari,MM_A13_13,20.62529,-103.36171
Calle María Ciudadano Bancalari,MM_A13_14,20.62608,-103.36136
Calle María Ciudadano Bancalari,MM_A13_15,20.62744,-103.36077
Calle María Ciudadano Bancalari,MM_A13_16,20.62837,-103.36041
Calle María Ciudadano Bancalari,MM_A13_34,20.62871,-103.36017
Calle María Ciudadano Bancalari,MM_A13_35,20.6277,-103.3609
Calle María Ciudadano Bancalari,MM_A13_36,20.62653,-103.36139
Calle María Ciudadano Bancalari,MM_A13_38,20.62475,-103.36215
Calle María Ciudadano Bancalari,MM_A13_39,20.62276,-103.363
Calle María Ciudadano Bancalari,MM_A13_40,20.62137,-103.3636
Calle María Ciudadano Bancalari,MM_A13_8,20.62046,-103.3636
Calle María Ciudadano Bancalari,MM_A13_9,20.62114,-103.36345
Calle María Luisa Martínez,MM_A16_16,20.73077,-103.32699
Calle María Luisa Martínez,MM_A16_17,20.73007,-103.32724
Calle María Luisa Martínez,MM_A16_18,20.72917,-103.32741
Calle María Luisa Martínez,MM_A16_19,20.72843,-103.32745
Calle María Luisa Martínez,MM_A16_20,20.72683,-103.32741
Calle María Luisa Martínez,MM_A16_42,20.72835,-103.32732
Calle María Luisa Martínez,MM_A16_43,20.72909,-103.32729
Calle María Luisa Martínez,MM_A16_44,20.72974,-103.32718
Calle María Luisa Martínez,MM_A16_45,20.73056,-103.32694
Calle María Luisa Martínez,MM_A16_46,20.73161,-103.32653
Calle Ostión,MM_A08_100,20.55489,-103.33189
Calle Paseo del Zoológico,MM_A05_10,20.72247,-103.3101
Calle Paseo del Zoológico,MM_A05_11,20.72189,-103.31148
Calle Paseo del Zoológico,MM_A05_16,20.72173,-103.31141
Calle Paseo del Zoológico,MM_A05_17,20.72237,-103.31011
Calle Pedro García Conde,MM_A13_17,20.62725,-103.35818
Calle Pedro García Conde,MM_A13_18,20.62678,-103.35715
Calle Pedro García Conde,MM_A13_19,20.62602,-103.3554
Calle Pedro García Conde,MM_A13_20,20.62525,-103.35376
Calle Pedro García Conde,MM_A13_22,20.62445,-103.35199
Calle Pedro García Conde,MM_A13_23,20.62408,-103.35117
Calle Pedro García Conde,MM_A13_24,20.62351,-103.34987
Calle Pedro García Conde,MM_A13_26,20.62355,-103.34965
Calle Pedro García Conde,MM_A13_28,20.6245,-103.35182
Calle Pedro García Conde,MM_A13_30,20.62527,-103.35353
Calle Pedro García Conde,MM_A13_31,20.62607,-103.35526
Calle Pedro García Conde,MM_A13_32,20.6268,-103.35691
Calle Pedro García Conde,MM_A13_33,20.62724,-103.35793
Calle Pelegrin Clave,MM_A07_29,20.6096,-103.35123
Calle Pelegrin Clave,MM_A07_8,20.6095,-103.35112
Calle Piedrera,MM_C102_100,20.60798,-103.32822
Calle Porfirio Neri,MM_A16_29,20.72287,-103.31943
Calle Privida San Antonio,MM_A10_9,20.59636,-103.32988
Calle Pulpo,MM_A08_99,20.55709,-103.33235
Calle Ramon Marquez Galindo,MM_A13_21,20.62491,-103.353
Calle Ramón Garcés,MM_A16_15,20.73187,-103.32655
Calle Rio Colorado,MM_A06_2,20.58712,-103.33961
Calle Rio Colorado,MM_A06_65,20.58758,-103.34076
Calle Rio Colorado,MM_A06_66,20.5873,-103.34017
Calle Rio Colorado,MM_A06_67,20.58711,-103.33977
Calle Rodrigo de Triana,MM_A07_1,20.60216,-103.35516
Calle Rodrigo de Triana,MM_A07_36,20.60043,-103.3548
Calle Río Amazonas,MM_A06_59,20.5911,-103.34111
Calle Río Amazonas,MM_A06_9,20.59089,-103.34103
Calle Río Amazonas,MM_A08_35,20.59196,-103.34403
Calle Río Blanco,MM_A06_1,20.58651,-103.3381
Calle Río Colotlan,MM_A06_5,20.58861,-103.34084
Calle Río Colotlan,MM_A06_63,20.58869,-103.34094
Calle Río Grande,MM_A06_14,20.59334,-103.34081
Calle Río Santiago,MM_A06_69,20.58589,-103.33867
Calle Río Seco,MM_C102_96,20.62604,-103.30416
Calle Río de Janeiro,MM_A06_64,20.58797,-103.34128
Calle Salamanca,MM_A19_105,20.51736,-103.38401
Calle Salamanca,MM_A19_21,20.5175,-103.38364
Calle San Francisco,MM_A08_10,20.56402,-103.3432
Calle San Francisco,MM_A08_16,20.56456,-103.34834
Calle San Francisco,MM_A08_17,20.56465,-103.34961
Calle San Francisco,MM_A08_18,20.56486,-103.35209
Calle San Francisco,MM_A08_87,20.56478,-103.35228
Calle San Francisco,MM_A08_88,20.56452,-103.34959
Calle San Francisco,MM_A08_96,20.56388,-103.34321
Calle San Francisco,MM_A08_97,20.56373,-103.34159
Calle San Ignacio,MM_A08_9,20.56383,-103.34138
Calle San Mariano,MM_C18_33,20.68974,-103.3165
Calle Santa Cecilia,MM_A17_4,20.59678,-103.35072
Calle Santa Cruz del Valle,MM_A08_19,20.56512,-103.35475
Calle Santa Cruz del Valle,MM_A08_20,20.56654,-103.35513
Calle Santa Cruz del Valle,MM_A08_85,20.5668,-103.35535
Calle Santa Cruz del Valle,MM_A08_86,20.56502,-103.35481
Calle Santa Cruz del Valle,MM_A20_28,20.5556,-103.3536
Calle Santa Cruz del Valle,MM_A20_29,20.55862,-103.35411
Calle Santa Cruz del Valle,MM_A20_30,20.56193,-103.35449
Calle Santa Cruz del Valle,MM_A20_70,20.56523,-103.35516
